corridor_id,corridor_name,habitat_type,zone,latitude,longitude,period,road_pressure,construction_pressure,light_pollution,land_use_change,human_encroachment,movement_activity,road_crossings,protection_coverage
COR-008,River Valley Connector,Riverine,Central,19.8288,74.6558,Q3,68.1,30.2,58.1,37.7,17.6,54.8,5,34.4
COR-008,River Valley Connector,Riverine,Central,19.8421,74.7175,Q4,51.6,55.2,25.7,33.4,16.7,44.4,3,48.0
COR-009,Western Ridge Passage,Mountain,West,20.354,73.6788,Q1,39.4,62.9,30.7,22.4,74.4,31.6,6,43.1
COR-009,Western Ridge Passage,Mountain,West,20.3227,73.5934,Q2,35.7,24.3,27.6,42.0,13.2,27.0,8,42.1
COR-009,Western Ridge Passage,Mountain,West,20.3417,73.6262,Q3,43.5,68.5,66.7,70.5,71.2,40.6,2,27.3
COR-009,Western Ridge Passage,Mountain,West,20.309,73.6625,Q4,82.5,27.8,41.3,25.2,69.7,59.3,5,57.2
COR-010,Coastal Wetland Link,Coastal,West,18.999,72.7189,Q1,62.6,52.1,5.7,42.2,30.9,54.9,4,69.9
COR-010,Coastal Wetland Link,Coastal,West,19.0237,72.6378,Q2,43.4,27.4,6.5,52.0,67.7,45.9,7,27.2
COR-010,Coastal Wetland Link,Coastal,West,19.0143,72.6485,Q3,26.9,78.5,57.1,51.7,41.6,56.2,5,55.4
COR-010,Coastal Wetland Link,Coastal,West,19.0696,72.6462,Q4,35.2,78.0,9.8,50.5,19.3,74.4,8,70.6
COR-011,Eastern Forest Bridge,Forest,East,18.7297,76.1517,Q1,23.4,43.5,54.2,60.2,14.4,53.1,11,43.9
COR-011,Eastern Forest Bridge,Forest,East,18.7562,76.2004,Q2,62.9,11.0,35.2,36.4,11.6,48.3,2,39.4
COR-011,Eastern Forest Bridge,Forest,East,18.7747,76.1997,Q3,41.7,78.8,40.7,65.0,57.4,60.8,5,40.4
COR-011,Eastern Forest Bridge,Forest,East,18.6901,76.1798,Q4,26.7,55.0,39.0,45.8,57.0,68.1,2,47.2
COR-012,Plateau Grassland Route,Grassland,East,20.488,75.5598,Q1,24.5,66.0,59.1,74.1,58.0,49.8,7,41.3
COR-012,Plateau Grassland Route,Grassland,East,20.4916,75.5394,Q2,72.0,31.5,37.1,49.7,66.6,47.6,6,31.6
COR-012,Plateau Grassland Route,Grassland,East,20.4769,75.5633,Q3,15.9,53.2,38.5,16.3,11.9,46.5,2,54.7
COR-012,Plateau Grassland Route,Grassland,East,20.5052,75.5861,Q4,23.6,60.8,57.6,35.1,73.7,63.5,2,64.3
